Samples	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepb	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
S25_Z00	86.11016000000001	65.8402	2237.562900000001	198.3391	5809.091659999996	3782.7836	145.75149	16.62811	108.86437	2484.1149799999994	3.72321	0.0	0.0	10.2184	0.0	6470.280090000003	235.8759	157.03065999999998	2900.43127	2828.65037	2016.62059	29.129510000000003	651.1941800000004	2549.0008400000006	1909.8653300000008	2385.070529999999	2303.3709800000006	2193.8269200000004	2925.6707999999994	3570.2946300000003	1625.74903	26.05592	34.01072	68.1854	97.05758	438.97266	559.9165199999999	785.5764800000001	0.0	2151.65964	185.06103	271.22835	729.9081299999999	1767.60541	291.10889	369.94357	442.88446	376.20617	344.92418000000004	286.10197	1245.13563	129.1267	956.9308099999998	2060.14074	1511.2180299999998	307.03777	219.4492	266.90384	225.14758	288.40301	264.28974	290.05477	131.5954
S26_Z00	30.34061	71.87593000000001	1308.46421	177.37366	4096.934310000002	2448.7758599999997	114.17286	0.0	90.33344	1728.36356	0.0	0.0	0.0	5.43457	0.0	4702.634240000004	183.8945	152.79812	1356.97156	2382.1351700000005	1512.3434600000005	73.85132	596.6342599999999	2290.845669999999	1389.6370499999998	2137.282560000001	1610.94154	1939.49334	3229.524429999999	2827.435540000001	1014.8089699999998	221.19346	23.79639	59.53286	99.50143	367.79267	692.2367300000001	832.7179700000002	7.05877	1545.9041499999996	120.24129999999998	252.2001	589.8976799999999	1304.87074	316.60376	355.9578200000001	330.25502	291.97371	64.07921999999999	254.54689	919.53921	204.87477	369.19465	1684.3216999999993	770.02102	428.2160600000001	285.53583000000003	252.73037	332.98439	208.7199	130.04471999999998	231.61965999999995	179.32589000000002
S27_Z00	586.0743399999999	8.0543	4117.39794	531.66268	6280.189179999997	5324.021360000004	377.16164	5.19214	53.10587	2704.48725	10.3016	0.0	0.0	6.81371	0.0	8253.026699999997	0.0	11.3913	3726.75048	4977.06989	4344.583939999999	8.99351	234.48528	6670.00403	2496.107920000001	4684.366819999999	4556.150820000002	5113.982550000001	5992.8925100000015	6985.501559999999	2661.830470000001	20.8418	0.0	74.0937	8.14521	251.96117	1582.7813300000005	3007.44044	0.0	4838.232290000001	69.55912	1549.33696	1486.57011	3610.101650000001	759.3715300000001	406.28199000000006	782.52883	1196.75683	673.45999	369.56118	3440.55872	7.68784	1617.53284	3947.43021	2320.0755700000004	783.05197	669.21527	729.5914	765.30334	628.36742	593.18146	660.33919	693.342
S28_Z00	184.11663	235.09047	2159.839249999998	254.7702	5336.300029999999	3577.9051800000016	280.40439999999995	28.0629	291.93747	2424.657179999999	0.0	0.0	0.0	0.0	0.0	6874.802890000002	178.499	174.5348	2058.5898100000013	3333.73372	2463.65335	292.83881	1065.28534	3159.96823	1892.1879099999992	2746.4034100000003	2861.110010000001	3038.20607	3228.84741	3656.116200000001	1391.1470799999995	296.2164	87.28352999999998	295.90664000000004	135.74188999999998	850.1907200000003	775.8294599999999	1039.72709	0.0	1986.1091200000003	43.67587	632.8119999999999	968.2345600000004	1953.68216	487.89695	632.2353899999999	554.3711800000001	438.1619	114.26387	488.3213300000001	1262.5517199999997	356.64485	639.331	2447.47137	907.25803	565.48127	246.99227	211.85771	609.68922	393.152	237.26473	412.2672299999999	126.50162
S29_Z00	119.06763	115.06479	3359.9910900000023	376.2573	7653.223160000001	5230.750280000001	186.1832	43.322680000000005	169.33907	3166.5032200000005	5.93576	0.0	0.0	52.78291	0.0	7721.54465	245.1164	223.31239	2017.0532799999992	4577.587639999999	2670.4784100000006	80.68166000000001	1093.2786899999996	4226.247199999997	2845.806979999999	2716.5907000000007	2932.679510000001	2510.802199999999	3634.9738500000008	4046.9421900000016	2188.7274600000005	33.78348	98.37546	84.27391	83.4949	933.07068	1258.7899699999998	1365.4693599999998	0.0	2200.6063400000003	97.19653999999998	881.9913499999999	1178.53004	2059.6008	667.48753	662.7766499999999	711.0556600000001	479.02108	104.18293	754.7789900000001	1626.5722200000007	298.7891199999999	948.91944	3147.155160000001	1209.8729899999998	674.27161	412.57937	398.68569	551.3247700000001	399.17333	299.53661000000005	389.2629	314.71083
S30_Z00	60.16971	39.3467	2331.4655	401.89952	5979.183219999997	4330.6891	336.02584	0.0	155.91809999999998	2431.733900000001	5.56618	0.0	0.0	76.70785	0.0	6819.891796000006	120.2574	157.36065000000002	2781.6934100000003	3473.9905399999984	2715.428250000001	109.20169	962.6092699999996	3186.64825	2508.80105	2723.834850000001	3060.976199999999	2964.590639999999	2735.4568899999986	3673.55392	1518.37393	98.30602	33.94308	161.26926	96.93715	640.9523	700.04155	1193.8326600000005	0.0	2325.8400799999986	155.9083	515.82374	1048.9243299999996	1673.3014699999994	617.61872	659.0572	538.98844	600.1159700000001	63.65465	444.40079	1327.3813599999994	242.07641	961.6037299999998	2298.851450000001	1167.18147	660.75607	432.6811400000001	192.34953	491.8525199999999	232.0221	319.96278	300.60435	187.50908
S31_Z00	27.91931	205.58943	993.0832	169.14451	4772.529019999997	2604.69699	442.14358	14.48599	148.36568	1603.6788299999992	0.0	0.0	2.64719	52.48586	0.0	4608.227419999997	36.766	485.62857	1330.7217100000005	2623.046520000001	1930.26028	90.21472	1452.02341	3121.4922400000005	2345.1372699999997	2099.18514	2180.0807399999994	2002.57956	2861.95095	3493.8167799999987	856.6112499999998	88.6446	146.90780999999998	470.31568	308.42001	468.54399	285.1245800000001	756.8915800000001	0.0	1130.45605	88.33578	565.55167	988.1852000000002	1637.88285	603.7729099999999	640.99493	574.31281	337.08954	28.06487	457.48694	808.6531700000002	455.34634	722.636	1742.5559699999992	663.5800200000002	722.1422800000001	494.4227000000001	347.3715	661.6797500000001	327.35364	302.59999	431.98679	236.6919
S32_Z00	146.12637	100.49058	1115.4839800000004	228.26366	4823.487072000001	2840.178469999999	109.17013	0.0	98.0304	1805.0793899999992	6.8563	0.0	0.0	12.0346	0.0	5102.775980000002	12.352	51.23793	1499.4693	2383.6506500000005	1850.8260700000008	357.21579	926.05004	2646.6143200000006	1437.6315999999993	1782.813949999999	2410.172279999999	1923.639070000001	2573.3195500000006	2328.79284	1194.72975	177.64309	115.14517	72.94988000000001	313.09304	754.40807	261.62665000000004	670.3122899999998	0.0	1368.4511399999994	90.38633	500.98702	890.2537000000003	1605.9637900000002	258.95216	459.64308	316.40798	513.73556	67.4274	486.60265	824.17851	386.78747	979.3987799999998	1852.4742	598.6735300000001	641.8924099999999	293.41949000000005	369.67334	601.8958700000001	697.4669	529.77904	563.0734700000002	155.98695
S33_Z00	65.811156	298.90101	1221.398795	234.06887000000003	5675.070393000003	3388.7974300000005	377.31126	0.0	271.96033	2110.8210700000004	0.0	0.0	0.0	86.42970000000001	0.0	6232.53739	44.68131	138.12931999999998	2362.8104800000024	2931.8549499999995	1979.31985	184.47347	674.4858900000002	3673.194390000001	1831.5332600000004	3263.90129	2354.60042	2489.7324099999983	3367.405599999999	3836.101429999999	1758.48604	299.39065	215.73769	527.70843	246.79563	433.21055	443.99534	1031.04832	0.0	1793.212509999999	97.46119999999998	536.4113100000001	1046.82676	1615.1511799999998	434.71478	740.0229400000002	572.15017	535.7584599999999	42.98684	132.77199000000002	1256.8112199999998	181.74201	953.8069200000004	1964.2260100000003	510.76185	657.7725600000001	303.47589000000005	175.66859	424.17172	377.9474199999999	389.67487	516.3967799999999	168.42227000000003
S34_Z00	83.89217000000001	127.17742	1920.6365200000007	431.4609299999999	5374.626460000003	3313.990079999999	505.96803	21.6747	360.6146900000001	2374.1849800000005	0.0	0.0	0.0	8.71962	0.0	6998.319040000002	0.0	230.79283	1712.5960799999996	3695.974419999999	2472.553569999999	218.88121	875.6061400000001	3050.333890000001	2451.15929	2912.786070000001	2575.098160000001	2731.5964199999985	3446.40393	3365.285710000001	1504.6726099999996	286.73999999999995	242.70435	197.58233	283.9823599999999	690.3745799999999	606.24605	1664.7103599999991	0.0	2294.74903	184.2951	567.8020399999999	945.7675200000004	2367.86143	791.1435399999998	1161.0408999999995	790.3212600000002	740.9458999999999	172.22388999999998	337.43006999999994	1738.78002	218.32324	812.379	2129.0392500000003	727.06101	1086.49524	744.6391	566.15883	844.0288300000002	614.79238	512.18247	519.7119700000001	519.63588
